,phrase,label,sentiment,subjectivity,language,count
Deutschland,Deutschland,LOC,0.03362800565770863,0.088000942951438,de,707
Berlin,Berlin,LOC,0.014429223744292233,0.08447488584474885,de,219
Russland,Russland,LOC,-0.03446502057613169,0.06584362139917696,de,162
Ukraine,Ukraine,LOC,-0.02845804988662131,0.026077097505668934,de,147
Europa,Europa,LOC,-0.08724137931034483,0.030804597701149426,de,145
Deutschlands,Deutschlands,LOC,0.14515873015873013,0.1817460317460317,de,105
Gaspreisbremse,Gaspreisbremse,LOC,0.12558139534883717,0.018604651162790697,de,86
Brüssel,Brüssel,LOC,0.09315068493150684,0.0273972602739726,de,73
Frankreich,Frankreich,LOC,0.07476851851851851,0.07870370370370369,de,72
Bund,Bund,LOC,0.04444444444444445,0.06313131313131312,de,66
Katar,Katar,LOC,0.026333333333333334,0.098,de,50
Österreich,Österreich,LOC,0.03833333333333334,0.027777777777777776,de,45
China,China,LOC,-0.05681818181818181,0.011363636363636364,de,44
Kiew,Kiew,LOC,-0.09204545454545454,0.18181818181818182,de,44
Audioinhalten,Audioinhalten,LOC,0.6999999999999996,0.0,de,36
"Podcasts
","Podcasts
",LOC,0.6999999999999996,0.0,de,36
Europas,Europas,LOC,0.05142857142857142,0.17142857142857143,de,35
Ostsee,Ostsee,LOC,-0.13823529411764707,0.08823529411764706,de,34
USA,USA,LOC,0.05392156862745097,0.047058823529411764,de,34
Polen,Polen,LOC,0.09838709677419354,0.0967741935483871,de,31
Düsseldorf,Düsseldorf,LOC,0.1285714285714286,0.1904761904761905,de,28
Spanien,Spanien,LOC,0.10185185185185183,0.0,de,27
Russlands,Russlands,LOC,-0.08518518518518518,0.037037037037037035,de-DE,27
Washington,Washington,LOC,-0.04,0.0,de,25
Deutschland.,Deutschland.,LOC,0.09347826086956519,0.0,de,23
Stadt,Stadt,LOC,0.034848484848484844,0.1590909090909091,de,22
Br\u00fcssel,Br\u00fcssel,LOC,0.0,0.0,de,22
