,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,0.07587064676616916,0.05223880597014925,de,67
Bundestag,Bundestag,ORG,0.07690058479532165,0.007017543859649123,de,57
EU-Kommission,EU-Kommission,ORG,0.01627906976744186,0.0,de,43
SPD,SPD,ORG,0.056349206349206336,0.05555555555555556,de,42
SPIEGEL,SPIEGEL,ORG,0.6781249999999996,0.0,de,32
E-Paper,E-Paper,ORG,0.6999999999999996,0.0,de,31
Uniper,Uniper,ORG,-0.09642857142857142,0.10714285714285714,de,28
FOCUS,FOCUS,ORG,0.17300000000000001,0.04,de,25
Grüne,Grüne,ORG,0.043999999999999984,0.08,de,25
CDU,CDU,ORG,0.053968253968253964,0.07936507936507936,de,21
WELT,WELT,ORG,0.37750000000000006,0.05,de,20
FDP,FDP,ORG,0.14750000000000002,0.1,de,20
Kommission,Kommission,ORG,0.12631578947368421,0.05263157894736842,de,19
Gazprom,Gazprom,ORG,-0.13529411764705881,0.0,de,17
EU-Staaten,EU-Staaten,ORG,0.12549019607843137,0.14705882352941177,de,17
LNG,LNG,ORG,0.3181818181818182,0.0,de,11
Gazprom Germania,Gazprom Germania,ORG,0.0090909090909091,0.0,de,11
Ukraine,Ukraine,ORG,-1.0,0.0,de,11
AKW,AKW,ORG,0.15454545454545454,0.0,de,11
RT DE.,RT DE.,ORG,0.02727272727272728,0.045454545454545456,de,11
Bundesnetzagentur,Bundesnetzagentur,ORG,0.0,0.0,de,10
die Grünen,die Grünen,ORG,0.1111111111111111,0.0,de,9
BASF,BASF,ORG,0.07777777777777778,0.1111111111111111,de,9
…,…,ORG,0.07777777777777778,0.0,de,9
Katar,Katar,ORG,-0.06666666666666668,0.0,de,9
RWE,RWE,ORG,0.0875,0.0,de,8
Die Grünen,Die Grünen,ORG,0.018750000000000003,0.0,de,8
Internationale Energieagentur,Internationale Energieagentur,ORG,0.09999999999999999,0.0,de,7
Deutschland,Deutschland,ORG,-0.09999999999999999,0.14285714285714285,de,7
EU-Ebene,EU-Ebene,ORG,0.2857142857142857,0.0,de,7
Gaspreisbremse,Gaspreisbremse,ORG,0.11666666666666665,0.13333333333333333,de,6
RKI,RKI,ORG,0.0,0.0,de,6
Grünen,Grünen,ORG,0.08333333333333333,0.06666666666666667,de,6
Berliner Morgenpost,Berliner Morgenpost,ORG,0.11666666666666665,0.0,de-DE,6
EU-Energieminister,EU-Energieminister,ORG,0.11666666666666665,0.0,de,6
TotalEnergies,TotalEnergies,ORG,0.0,0.16666666666666666,de,6
