,phrase,label,sentiment,subjectivity,language,count
…,…,PER,0.09129793510324483,0.04424778761061947,de,113
Gaspreisbremse,Gaspreisbremse,PER,0.07692307692307694,0.038461538461538464,de,52
Scholz,Scholz,PER,0.1576923076923077,0.0,de,52
Olaf Scholz,Olaf Scholz,PER,0.1965986394557823,0.013605442176870748,de,49
Robert Habeck,Robert Habeck,PER,0.04677419354838709,0.03225806451612903,de,31
Energiepauschale,Energiepauschale,PER,-0.2884615384615385,0.019230769230769232,de,26
Freier,Freier,PER,0.6999999999999997,0.0,de,24
Putin,Putin,PER,0.103125,0.0,de,16
Christian Lindner,Christian Lindner,PER,0.34285714285714286,0.0,de,14
Gaspreisdeckel,Gaspreisdeckel,PER,0.0,0.07692307692307693,de,13
Habeck,Habeck,PER,0.25,0.0,de,12
Wladimir Putin,Wladimir Putin,PER,0.20909090909090908,0.0,de,11
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,-0.37,0.0,de,10
Lindner,Lindner,PER,0.10999999999999999,0.1,de,10
Katastrophenschützer,Katastrophenschützer,PER,-0.30000000000000004,0.2962962962962963,de,9
Klaus Müller,Klaus Müller,PER,-0.02708333333333332,0.0,de,8
Putins,Putins,PER,0.26249999999999996,0.125,de,8
Preisbremse,Preisbremse,PER,0.5125,0.0,de,8
Michael Kretschmer,Michael Kretschmer,PER,-0.09999999999999999,0.0,de,7
Gabor Steingart,Gabor Steingart,PER,0.05714285714285713,0.0,de,7
Leyen,Leyen,PER,-0.042857142857142864,0.0,de,7
Kretschmer,Kretschmer,PER,0.0,0.0,de,7
Mario Mehren,Mario Mehren,PER,0.21666666666666662,0.6904761904761905,de,7
Macron,Macron,PER,0.0,0.0,de,6
Gaskrise,Gaskrise,PER,-0.21666666666666667,0.0,de,6
Explosionen,Explosionen,PER,-0.13999999999999999,0.0,de,5
Saskia Esken,Saskia Esken,PER,0.22999999999999998,0.0,de,5
Energiesparen,Energiesparen,PER,0.27999999999999997,0.0,de-DE,5
Ursula von der Leyen,Ursula von der Leyen,PER,0.06999999999999999,0.1,de,5
Kommt,Kommt,PER,0.0,0.0,de,5
Nord-Stream-Pipelines,Nord-Stream-Pipelines,PER,-0.2,0.2,de,5
Wolfram Günther,Wolfram Günther,PER,0.35,0.0,de,4
Missverständliche,Missverständliche,PER,0.0,0.0,de,4
Sören Pellmann,Sören Pellmann,PER,0.7,0.0,de,4
Gaspreisdeckels,Gaspreisdeckels,PER,0.0,0.0,de,4
Angela Merkel,Angela Merkel,PER,0.25,0.2,de,4
Klitschko,Klitschko,PER,-0.175,0.5,de,4
nan,nan,PER,0.2125,0.0,de,4
Gaspreisbremse.,Gaspreisbremse.,PER,0.0,0.0,de,4
Wintershall Dea,Wintershall Dea,PER,1.0,0.0,de,4
Buschmann,Buschmann,PER,0.0,0.0,de,3
Jürgen Trittin,Jürgen Trittin,PER,0.0,0.0,de,3
Martin Krengel,Martin Krengel,PER,0.2333333333333333,0.3333333333333333,de,3
Blackouts,Blackouts,PER,0.0,0.3333333333333333,de,3
Erdogan,Erdogan,PER,0.3333333333333333,0.0,de,3
Veronika Grimm,Veronika Grimm,PER,0.2333333333333333,0.0,de,3
Energielieferant,Energielieferant,PER,0.0,0.0,de,3
Corona,Corona,PER,-0.5666666666666667,0.0,de,3
Baerbock,Baerbock,PER,0.2833333333333333,0.0,de,3
Steigende,Steigende,PER,-0.5666666666666667,0.0,de,3
Jens Südekum,Jens Südekum,PER,0.0,0.0,de,3
Katrin Göring-Eckardt,Katrin Göring-Eckardt,PER,-0.3333333333333333,0.0,de,3
Leonore Gewessler,Leonore Gewessler,PER,0.0,0.0,de,3
Andreas Jung,Andreas Jung,PER,-0.6666666666666666,0.0,de,3
BILDplus,BILDplus,PER,-0.05833333333333333,0.13333333333333333,de,3
Esken,Esken,PER,-0.2333333333333333,0.3333333333333333,de,3
Greta Thunberg,Greta Thunberg,PER,0.0,0.0,de,2
Gefüllte,Gefüllte,PER,1.0,0.0,de,2
Schäuble,Schäuble,PER,0.0,0.0,de,2
Ralf Patzelt,Ralf Patzelt,PER,1.0,0.0,de,2
Christina Morina,Christina Morina,PER,0.0,0.0,de,2
