,summary,Fossile Energie,Politik,Gesundheit,Armut,word
summaryOfAllWords,69355.77753881371,39496.25651139229,17562.42666536357,5249.385572397007,7047.7087896515395,
Energiekrise,61.84841506378916,0.17070097705471268,-0.0551247026499836,-0.7553481842928615,-0.7227889587995265,Energiekrise
Kap,2.0753276022151503,-0.07025176786937998,0.1229389334450171,0.054040077086427385,0.012765486563395014,Kap
energiekrise kap,2.0753276022151503,-0.07025176786937998,0.1229389334450171,0.054040077086427385,0.012765486563395014,energiekrise kap
Chance,2.08479525432009,-0.06864253486581927,0.12285257556179784,0.049488447830847666,0.008213857307815398,Chance
kap chance,2.08479525432009,-0.06864253486581927,0.12285257556179784,0.049488447830847666,0.008213857307815398,kap chance
deutsche,6.132905188684715,0.3065409763185202,-0.43205889342664033,-1.0295094684246795,-1.0707840589477118,deutsche
chance deutsch,2.099051885125522,-0.06617731448471935,0.12258589349856817,0.042673339386319176,0.0013987488632869396,chance deutsch
Investoren,2.7176622465341587,-0.0748284229532751,0.2708081971099464,-0.2156129436745159,-0.2568875341975483,Investoren
deutsch investor,2.7176622465341587,-0.0748284229532751,0.2708081971099464,-0.2156129436745159,-0.2568875341975483,deutsch investor
Wirtschaft,12.144793584468376,0.39413614950959885,-1.0123512414985656,-0.5020364597163056,-1.7540160580130075,Wirtschaft
investor wirtschaft,2.13304444777083,-0.06009988569924479,0.12129677801513333,0.026608821472236015,-0.01466576905079633,investor wirtschaft
10.01.2022,2.168465406057688,-0.05348083305678602,0.1189997589213095,0.010139367663116135,-0.031135222859916174,10.01.2022
wirtschaft 10.01.2022,2.168465406057688,-0.05348083305678602,0.1189997589213095,0.010139367663116135,-0.031135222859916174,wirtschaft 10.01.2022
Südafrika,2.1950196370902417,-0.04834017100707912,0.11666348931057378,-0.0020318938768115378,-0.04330648439984391,Südafrika
10.01.2022 südafrika,2.1950196370902417,-0.04834017100707912,0.11666348931057378,-0.0020318938768115378,-0.04330648439984391,10.01.2022 südafrika
erhält,4.1729516067290255,0.2858594037636579,-0.5158817258640309,-0.6444645058913351,-0.6857390964143675,erhält
südafrika erhalt,2.2236831670475516,-0.04263418627272197,0.11357697354027005,-0.015005806487034378,-0.05628039701006658,südafrika erhalt
Milliarden,10.64038605323308,0.4497772028066754,-1.2655364181646511,-1.5804976675610012,-1.6217722580840335,Milliarden
erhalt milliarde,2.2471344641153537,-0.037855822927716,0.11063536252624916,-0.025496734137748226,-0.06677132466078063,erhalt milliarde
Energie-Umbau,2.3327387478298602,-0.019741129287776167,0.09701129858552113,-0.06288390666296274,-0.10415849718599521,Energie-Umbau
milliarde energie-umbau,2.3327387478298602,-0.019741129287776167,0.09701129858552113,-0.06288390666296274,-0.10415849718599521,milliarde energie-umbau
Bisher,3.9651629563577964,-0.098117519017895,0.09841208706136047,0.6871473489940768,-0.6346624445755408,Bisher
verpesten,2.524719765053645,0.022581429032689507,0.05391070832423075,-0.1419709735380822,-0.1832455640611146,verpesten
bisher verpest,2.524719765053645,0.022581429032689507,0.05391070832423075,-0.1419709735380822,-0.1832455640611146,bisher verpest
veraltete,2.723090665517997,0.06491189008605469,-0.0008407996544058495,-0.21760841043173362,-0.2588830009547659,veraltete
verpest veraltet,2.723090665517997,0.06491189008605469,-0.0008407996544058495,-0.21760841043173362,-0.2588830009547659,verpest veraltet
Kohlekraftwerke,3.3974851386759197,0.1779546489492571,-0.1970175469215277,-0.43887639394672945,-0.4801509844697618,Kohlekraftwerke
veraltet kohlekraftwerk,3.3974851386759197,0.1779546489492571,-0.1970175469215277,-0.43887639394672945,-0.4801509844697618,veraltet kohlekraftwerk
Umwelt,3.8480845880385277,0.10234942055429047,0.06622939843264757,-0.563416416007471,-0.6046910065305034,Umwelt
kohlekraftwerk umwelt,2.6084335025055907,-0.010038349073584302,0.13824740653648857,-0.1745907516443559,-0.21586534216738806,kohlekraftwerk umwelt
Sie,40.74005300252166,0.04401410220610415,-0.4240101998934814,-0.5961168423373291,0.6644755342453618,Sie
sollen,29.966363495463106,0.10847869486126079,0.1964619306920224,-0.9242753561834343,-1.323612554347808,sollen
sie soll,5.191081331518213,-0.008797912203451509,0.35856047691153875,-0.8627829256233929,-0.9040575161464252,sie soll
alternative,2.5938169484067863,-0.13642635588770502,0.3431372513352185,-0.1689714172048281,-0.21024600772786045,alternative
soll alternativ,2.5938169484067863,-0.13642635588770502,0.3431372513352185,-0.1689714172048281,-0.21024600772786045,soll alternativ
Energien,5.40342966190222,-0.3275274959177893,0.7183387318501536,-0.902874775646854,-0.9441493661698863,Energien
alternativ energie,2.964170487693439,-0.30505472027117797,0.579982689249864,-0.30243812635150685,-0.3437127168745393,alternativ energie
ersetzt,3.710943961587955,0.10981144323857199,0.034810430782726026,-0.5271271824485446,-0.5684017729715769,ersetzt
energie ersetz,2.570902625154855,-0.18357196454233624,0.40183965886536244,-0.1600979543659083,-0.20137254488894069,energie ersetz
Deutsche,17.627560917070277,-0.07488379746525708,0.27586485662103566,-0.4690995396929019,-0.11472572242108904,Deutsche
stehen,6.404297139361641,-0.10385793892631036,0.0136766324707266,0.9547677289762935,-1.1140846847140886,stehen
investor steh,2.263962094830922,-0.11378908457336057,0.247077980354749,-0.03295731874205544,-0.07423190926508777,investor steh
bereit,4.377292106573794,0.08360148871914491,-0.4357861936232954,0.7991405312790362,-0.7335457843207775,bereit
steh bereit,2.2375645494602567,-0.11018887096089316,0.23525607939578896,-0.021228920778660846,-0.0625035113016932,steh bereit
Doch,36.64766519014525,0.07287207265380684,-0.04551619638284567,0.011257726261796577,-0.387405383669632,Doch
gibt,21.78761975210561,0.35524033120893966,-0.5295265133201513,-2.297182808305599,-1.1902943196883082,gibt
doch geb,2.413244871375918,-0.020469477180103772,0.11769839033831064,-0.09681316265759381,-0.13808775318062608,doch geb
Widerstände,2.1773130892746644,-0.10366952402683667,0.20987890832092718,0.0060675101346927785,-0.035207080388339584,Widerstände
geb widerstand,2.1773130892746644,-0.10366952402683667,0.20987890832092718,0.0060675101346927785,-0.035207080388339584,geb widerstand
nan,37.81676612905312,0.15474325475515785,-0.19049223388096342,-0.8938145706741973,-0.06779384875904133,nan
Ohne,5.72010835259584,-0.14898104604303855,0.34437550212749307,0.41556912154313275,-1.001103239603962,Ohne
Gazprom,9.687017615003347,0.4184978654041443,-0.9759879214629338,-1.4866274999664988,-1.5279020904895313,Gazprom
ohne gazprom,1.9932170749466307,0.02114524639209418,-0.10486400366533692,0.09440914490470176,0.05313455438166945,ohne gazprom
geht,22.14745385946957,0.02760235215405042,0.21168548094728104,-2.3135634410799413,-0.07598793782615208,geht
gazprom geh,2.0061589100149675,0.025774546350748072,-0.11133595343479537,0.08793719513524324,0.04666260461221095,gazprom geh
Europa,21.47231726290345,0.2510325565010782,-0.6999514615246581,0.2704090940580153,-0.8580315420577737,Europa
geh europa,2.0269522404089306,0.03304514213564745,-0.12164735515702751,0.07762579341301133,0.0363512028899789,geh europa
europa europa,2.0269522404089306,0.03304514213564745,-0.12164735515702751,0.07762579341301133,0.0363512028899789,europa europa
06.02.2022,2.110068133190911,0.06020392094870875,-0.16183428725561366,0.03743886131442509,-0.003835729208607421,06.02.2022
europa 06.02.2022,2.110068133190911,0.06020392094870875,-0.16183428725561366,0.03743886131442509,-0.003835729208607421,europa 06.02.2022
Ukraine-Krise,2.208053317187818,0.08878738272299003,-0.20722532507756275,-0.007952176507523825,-0.0492267670305562,Ukraine-Krise
06.02.2022 ukraine-kris,2.208053317187818,0.08878738272299003,-0.20722532507756275,-0.007952176507523825,-0.0492267670305562,06.02.2022 ukraine-kris
setzt,9.391521525058154,0.2011172135982786,-0.5843731003265052,0.30160625445458467,-0.5239646348625329,setzt
ukraine-kris setz,2.361621380840359,0.1274880669462941,-0.27446245860032137,-0.07518931003028258,-0.116463900553315,ukraine-kris setz
Kreml,2.629426930828335,0.18158942761097893,-0.3818799751003841,-0.18260682653034524,-0.22388141705337752,Kreml
setz kreml,2.629426930828335,0.18158942761097893,-0.3818799751003841,-0.18260682653034524,-0.22388141705337752,setz kreml
Gaslieferungen,25.57613330122274,0.5298965300508475,-2.656773673386352,-2.457500524816313,-2.4987751153393454,Gaslieferungen
kreml gaslieferung,3.14549158030049,0.25501995850889736,-0.5610842329571281,-0.36181108438708925,-0.40308567491012165,kreml gaslieferung
möglicherweise,3.656043361995726,0.3041671348200264,-0.7114955637008449,-0.512222415130806,-0.5534970056538384,möglicherweise
gaslieferung möglicherweise,2.378601943916282,0.13137705141242648,-0.2816269462401209,-0.08235379767008204,-0.12362838819311452,gaslieferung möglicherweise
politische,2.805665976122012,0.21034427437989048,-0.4467549851134814,-0.2474818365434425,-0.288756427066475,politische
möglicherweise politisch,2.1804627479551377,0.08107935002385774,-0.1946511736563264,0.004621974913712174,-0.03665261560931995,möglicherweise politisch
Waffe,2.122610524897653,0.06405744938351336,-0.1677607605036486,0.03151238806639013,-0.009762202456642069,Waffe
politisch waffe,2.122610524897653,0.06405744938351336,-0.1677607605036486,0.03151238806639013,-0.009762202456642069,politisch waffe
Über,5.033030551685526,0.38190442260342733,-1.0311363477262636,-0.8318631991562248,-0.8731377896792569,Über
Macht,2.4363219359821984,0.1440851135236934,-0.305603548420924,-0.10633039985088523,-0.14760499037391744,Macht
über macht,2.0473499952102885,0.03998444745847963,-0.13166032132587138,0.06761282724416727,0.02633823672113488,über macht
verfügt,2.4014974977023082,0.13651043858281944,-0.29120654982655714,-0.09193340125651843,-0.13320799177955056,verfügt
macht verfüg,2.0333631175426503,0.035246333929953286,-0.12480518005283373,0.074467968517205,0.033193377994172525,macht verfüg
russische,7.062737530979941,0.20637032604237035,-0.027795368340800493,-1.1706736297192415,-1.2119482202422738,russische
verfüg russisch,2.009657624413733,0.027012165020861168,-0.11307842112673358,0.08619472744330522,0.044920136920272837,verfüg russisch
Energiekonzern,3.4723459325161263,0.28841223772028146,-0.6599444764533166,-0.4606713278832778,-0.5019459184063101,Energiekonzern
russisch energiekonzern,1.9932170749466307,0.02114524639209418,-0.10486400366533692,0.09440914490470176,0.05313455438166945,russisch energiekonzern
energiekonzern gazprom,1.9726564673992004,0.013620221927075203,-0.09449514467928179,0.10477800389075702,0.06350341336772468,energiekonzern gazprom
gazprom europa,1.9599475476272055,0.00886074834579553,-0.0880317611468048,0.11124138742323379,0.06996679690020159,gazprom europa
Bernd,1.9516941167820208,0.005724291487787011,-0.08381182292072213,0.1154613256493164,0.07418673512628422,Bernd
Riegert,1.9459689607278672,0.003527145377796339,-0.08087408301976456,0.11839906555027413,0.07712447502724161,Riegert
bernd riegert,1.9459689607278672,0.003527145377796339,-0.08087408301976456,0.11839906555027413,0.07712447502724161,bernd riegert
Brüssel,9.673628330192416,0.43614747265115067,-1.1528017748886414,-1.4852443553148786,-1.5265189458379111,Brüssel
riegert brüssel,1.9355423166580445,-0.0005203002839573645,-0.07550160389818895,0.12377154467184982,0.08249695414881755,riegert brüssel
Kälte,16.3731390967122,-1.224737452964524,-1.8409397367488818,2.2707843668116836,-0.5385438038516315,Kälte
europa kälte,3.9890674730814832,-0.5525203265090418,-0.7986715372434117,1.8975306533926448,-0.6406729791964053,europa kälte
Die,180.1906394450231,0.1885857567016271,-0.14170396953151276,-0.4406575511768927,-0.8402453571195097,Die
kälte die,4.618293605800653,-0.4795846823373874,-0.9451393371507251,1.8936037996225492,-0.7871407791037187,kälte die
Schwierigkeiten,3.604210850678422,-0.10258643695688545,-0.6972168923396787,1.379463516831496,-0.5392183342926723,Schwierigkeiten
die schwierigkeit,3.198843265522869,-0.2302426966284426,-0.5779033146092687,1.4987770945619059,-0.4199047565622623,die schwierigkeit
Gasversorgung,23.74546838836279,0.45010353488868454,-1.8597877909194778,-0.25977475767993424,-2.4245071992047604,Gasversorgung
schwierigkeit gasversorgung,3.848476492660355,0.05331278799759867,-0.7627914034684267,1.0928001685412836,-0.6047928454214202,schwierigkeit gasversorgung
sichern,4.704401108228201,0.12787775320494335,-0.5878634408778874,0.7900027933347379,-0.8056139681975716,sichern
gasversorgung sicher,2.964601910453539,-0.11028673190394869,-0.501856810196604,1.251758509382712,-0.3438582521495976,gasversorgung sicher
Euronews,4.297196811450402,0.16300820686507173,-0.8730769554808091,0.8337909817719545,-0.7150783974338026,Euronews
